State: [[-10 -10 -10]], Action: 6, Reward: -65.0, Score: 1128.6240000000007, Episode: 1, Step: 116
State: [[-10 -10 -10]], Action: 0, Reward: -59.0, Score: 1069.6240000000007, Episode: 1, Step: 117
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1168.5440000000008, Episode: 1, Step: 118
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1267.4640000000009, Episode: 1, Step: 119
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1366.384000000001, Episode: 1, Step: 120
State: [[-10 -10 -10]], Action: 6, Reward: -65.0, Score: 1301.384000000001, Episode: 1, Step: 121
State: [[-10 -10 -10]], Action: 2, Reward: -146.84, Score: 1154.544000000001, Episode: 1, Step: 122
State: [[-10 -10 -10]], Action: 6, Reward: -65.0, Score: 1089.544000000001, Episode: 1, Step: 123
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1188.464000000001, Episode: 1, Step: 124
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1287.3840000000012, Episode: 1, Step: 125
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1386.3040000000012, Episode: 1, Step: 126
State: [[-10 -10 -10]], Action: 5, Reward: 69.0, Score: 1455.3040000000012, Episode: 1, Step: 127
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1554.2240000000013, Episode: 1, Step: 128
State: [[-10 -10 -10]], Action: 5, Reward: 69.0, Score: 1623.2240000000013, Episode: 1, Step: 129
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1722.1440000000014, Episode: 1, Step: 130
State: [[-10 -10 -10]], Action: 6, Reward: -65.0, Score: 1657.1440000000014, Episode: 1, Step: 131
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1756.0640000000014, Episode: 1, Step: 132
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1854.9840000000015, Episode: 1, Step: 133
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1953.9040000000016, Episode: 1, Step: 134
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 2052.8240000000014, Episode: 1, Step: 135
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 2151.7440000000015, Episode: 1, Step: 136
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 2250.6640000000016, Episode: 1, Step: 137
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 2349.5840000000017, Episode: 1, Step: 138
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 2448.5040000000017, Episode: 1, Step: 139
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 2547.424000000002, Episode: 1, Step: 140
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 2646.344000000002, Episode: 1, Step: 141
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 2745.264000000002, Episode: 1, Step: 142
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 2844.184000000002, Episode: 1, Step: 143
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 2943.104000000002, Episode: 1, Step: 144
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3042.024000000002, Episode: 1, Step: 145
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3140.9440000000022, Episode: 1, Step: 146
